CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND,,,,
523345200,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523345930,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525545930,MEXICO MPP  AT&T CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525545931,MEXICO MPP  AT&T CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528145930,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525545960,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525545970,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525545980,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525545990,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546000,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546010,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546020,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546030,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546040,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546050,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546060,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546070,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546080,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546090,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546100,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546110,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546120,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546130,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546140,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546150,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546160,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546170,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546180,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
